idx_1,idx_2,stage,src_1,src_2,date_1,date_2,time_utc_1,time_utc_2,lat_1,lat_2,lon_1,lon_2,mag_1,mag_2,dist_km,dt_min,dmag,old_rule,new_rule,rationale
EV-00869,EV-00867,B,Seismic Data of Bangladesh-2023x.doc,মাসিক ডাটা ২৩-২৪.docx,2023-07-21,2023-07-20,04:39:45 BST,2023-07-20 22:39:45,26.85,26.86,75.8667,75.88,4.3,4.3,1.73,0.0,0.0,not_merged,confirmed_duplicate_stage_B,BST 04:39:45 (4.66h) → UTC prev day; day_diff=1; dist=1.7km; |ΔM|=0.00; clock Δ=0.0min ≤ 15min
EV-00870,EV-00868,B,Seismic Data of Bangladesh-2023x.doc,মাসিক ডাটা ২৩-২৪.docx,2023-07-22,2023-07-21,02:05:46 BST,2023-07-21 20:05:46,25.1167,25.12,94.8833,94.89,4.0,4.0,0.77,0.0,0.0,not_merged,confirmed_duplicate_stage_B,BST 02:05:46 (2.10h) → UTC prev day; day_diff=1; dist=0.8km; |ΔM|=0.00; clock Δ=0.0min ≤ 15min
EV-00876,EV-00875,B,Seismic Data of Bangladesh-2023x.doc,মাসিক ডাটা ২৩-২৪.docx,2023-07-25,2023-07-24,02:14:30 BST,2023-07-24 20:14:30,22.7667,22.78,94.4833,94.49,4.4,4.4,1.63,0.0,0.0,not_merged,confirmed_duplicate_stage_B,BST 02:14:30 (2.24h) → UTC prev day; day_diff=1; dist=1.6km; |ΔM|=0.00; clock Δ=0.0min ≤ 15min
EV-00879,EV-00877,B,Seismic Data of Bangladesh-2023x.doc,মাসিক ডাটা ২৩-২৪.docx,2023-07-28,2023-07-27,04:13:55 BST,2023-07-27 22:13:55,30.3333,30.3462,94.8333,94.837,5.0,5.0,1.47,0.0,0.0,not_merged,confirmed_duplicate_stage_B,BST 04:13:55 (4.23h) → UTC prev day; day_diff=1; dist=1.5km; |ΔM|=0.00; clock Δ=0.0min ≤ 15min
EV-00881,EV-00880,B,Seismic Data of Bangladesh-2023x.doc,মাসিক ডাটা ২৩-২৪.docx,2023-07-30,2023-07-29,04:29:31 BST,2023-07-29 22:29:31,20.1,20.11,94.0,94.01,4.5,4.5,1.53,0.0,0.0,not_merged,confirmed_duplicate_stage_B,BST 04:29:31 (4.49h) → UTC prev day; day_diff=1; dist=1.5km; |ΔM|=0.00; clock Δ=0.0min ≤ 15min
EV-00885,EV-00882,B,Seismic Data of Bangladesh-2023x.doc,মাসিক ডাটা ২৩-২৪.docx,2023-07-31,2023-07-30,00:33:44 BST,2023-07-30 18:33:44,30.3667,30.375,94.8167,94.83,4.8,4.8,1.58,0.0,0.0,not_merged,confirmed_duplicate_stage_B,BST 00:33:44 (0.56h) → UTC prev day; day_diff=1; dist=1.6km; |ΔM|=0.00; clock Δ=0.0min ≤ 15min
EV-00885,EV-00884,B,Seismic Data of Bangladesh-2023x.doc,মাসিক ডাটা ২৩-২৪.docx,2023-07-31,2023-07-30,00:33:44 BST,2023-07-30 04:15:11,30.3667,30.398,94.8167,94.805,4.8,4.9,3.66,581.4,0.1,not_merged,not_duplicate_time_mismatch,day_diff=1; dist=3.7km; |ΔM|=0.10; BUT clock-time check FAILED: BST→UTC Δ=581min > 15min
EV-00046,EV-00047,FM_risk,Seismic Data of Bangladesh-2023x.doc,Seismic Data of Bangladesh-2023x.doc,2008-09-20,2008-09-20,,,23.8,23.83333333333333,91.1,91.11666666666666,4.3,4.8,4.0758566932973945,65.11666666666666,0.5,not_merged_different_mag,not_merged (LOW risk),distinct_events_65min_apart
EV-00357,EV-00358,FM_risk,Seismic Data of Bangladesh-2023x.doc,Seismic Data of Bangladesh-2023x.doc,2015-04-25,2015-04-25,,,27.55,27.633333333333333,85.55,85.5,4.7,5.3,10.494901104764246,102.18333333333334,0.5999999999999996,not_merged_different_mag,not_merged (LOW risk),distinct_events_102min_apart
EV-00362,EV-00363,FM_risk,Seismic Data of Bangladesh-2023x.doc,Seismic Data of Bangladesh-2023x.doc,2015-04-25,2015-04-25,,,27.866666666666667,27.916666666666668,85.56666666666666,85.65,5.0,5.4,9.89868145764469,50.45,0.40000000000000036,not_merged_different_mag,not_merged (LOW risk),close_in_time_50min
EV-00565,EV-00566,FM_risk,Seismic Data of Bangladesh-2023x.doc,Seismic Data of Bangladesh-2023x.doc,2019-11-26,2019-11-26,,,19.2,19.23333333333333,95.03333333333332,94.95,4.7,5.4,9.502603930770464,89.75,0.7000000000000002,not_merged_different_mag,not_merged (LOW risk),distinct_events_90min_apart
EV-00606,EV-00607,FM_risk,Seismic Data of Bangladesh-2023x.doc,Seismic Data of Bangladesh-2023x.doc,2020-07-17,2020-07-17,,,23.08333333333333,23.116666666666667,93.31666666666666,93.31666666666666,4.3,5.3,3.706497554819204,367.25,1.0,not_merged_different_mag,not_merged (LOW risk),distinct_events_367min_apart
EV-00672,EV-00673,FM_risk,Seismic Data of Bangladesh-2023x.doc,Seismic Data of Bangladesh-2023x.doc,2021-05-29,2021-05-29,,,24.9,24.9,91.88333333333334,91.88333333333334,2.8,4.1,0.0,39.11666666666667,1.2999999999999998,not_merged_different_mag,not_merged (LOW risk),close_in_time_39min
EV-00674,EV-00675,FM_risk,Seismic Data of Bangladesh-2023x.doc,Seismic Data of Bangladesh-2023x.doc,2021-05-29,2021-05-29,,,25.08333333333333,25.1,92.16666666666669,92.2,3.0,4.0,3.834329289446424,201.83333333333334,1.0,not_merged_different_mag,not_merged (LOW risk),distinct_events_202min_apart
EV-00882,EV-00884,FM_risk,মাসিক ডাটা ২৩-২৪.docx,মাসিক ডাটা ২৩-২৪.docx,2023-07-30,2023-07-30,,,30.375,30.398,94.83,94.805,4.8,4.9,3.50587686724603,858.55,0.10000000000000053,not_merged_different_mag,not_merged (MEDIUM risk),distinct_events_859min_apart
EV-01022,EV-01023,FM_risk,মাসিক ডাটা ২৩-২৪.docx,মাসিক ডাটা ২৩-২৪.docx,2024-06-02,2024-06-02,,,23.726,23.659,121.668,121.665,5.0,5.1,7.456319893514375,8.25,0.09999999999999964,not_merged_different_mag,not_merged (HIGH risk),close_in_time_8min
